amount,velocity_1m,avg_amount_1m,merchant_diversity_1m,is_fraud
1752.45,1,1752.45,1,False
6671.33,1,6671.33,1,False
2940.5,2,4805.91,1,False
4385.28,1,4385.28,1,False
1926.43,3,3846.09,2,False
2144.05,2,3264.66,2,False
4878.12,3,3802.48,3,False
2111.9,4,3379.84,3,False
7376.31,5,4179.13,3,False
4570.86,1,4570.86,1,False
4443.04,4,3995.32,2,False
5321.02,2,4945.94,2,False
43477.27,1,43477.27,1,True
1500.24,5,3496.31,3,False
4803.37,6,4283.17,3,False
6036.29,6,3919.64,3,False
85816.77,2,64647.02,1,True
1536.84,3,3809.57,2,False
1707.31,3,43667.12,2,False
2621.17,2,2186.81,2,False
4980.54,4,4102.31,3,False
6048.17,7,4535.31,3,False
2249.3,4,33312.66,3,False
1043.05,5,26858.74,3,False
2416.99,7,3704.97,3,False
53632.94,8,10672.52,4,True
3184.31,9,9840.49,4,False
2027.27,3,2133.63,2,False
3946.63,10,9251.11,4,False
1073.92,4,1868.7,3,False
1748.18,6,22673.65,3,False
1126.88,5,1720.34,3,False
1972.73,11,8589.44,4,False
2767.07,6,1894.79,3,False
2171.89,7,19744.82,3,False
1886.02,8,17512.47,3,False
3905.0,12,8199.07,4,False
2715.31,7,2012.01,3,False
1010.66,8,1886.84,3,False
2149.76,13,7733.74,4,False
4051.14,14,7470.69,4,False
2288.82,8,3527.95,3,False
1184.8,9,3267.6,3,False
1302.94,15,7059.51,4,False
1528.0,9,15736.42,3,False
5334.86,5,4348.82,3,False
2552.51,16,6777.82,4,False
1866.35,10,3127.48,3,False
2618.14,9,1968.1,3,False
1266.15,10,14289.39,3,False
5430.91,11,3336.88,3,False
2494.93,10,2020.78,3,False
7790.24,6,4922.39,3,False
50608.18,11,17591.1,3,True
5132.34,17,6681.03,4,False
2654.65,11,2078.4,3,False
1447.5,12,2025.83,3,False
6025.42,18,6644.61,4,False
7165.24,12,3655.91,3,False
1333.28,12,16236.28,3,False
6147.89,7,5097.46,3,False
3193.3,13,3620.33,3,False
2842.65,8,4815.61,3,False
3336.72,19,6470.51,4,False
1463.14,13,15099.89,3,False
5320.16,20,6412.99,4,False
2742.32,14,3557.61,3,False
2494.61,9,4557.72,3,False
2032.05,14,14166.47,3,False
5849.74,21,6386.17,4,False
73774.08,10,11479.36,4,True
887.5,15,13281.21,3,False
2817.76,13,2086.75,3,False
1796.28,16,12563.4,3,False
81606.74,17,16624.77,3,True
2418.42,14,2110.44,3,False
2039.94,15,2105.74,3,False
1865.98,11,10605.42,4,False
2003.42,22,6186.95,4,False
1774.43,18,15799.75,3,False
4169.72,23,6099.25,4,False
1640.82,16,2076.68,3,False
1097.62,12,9813.1,4,False
546.35,17,1986.66,3,False
842.03,19,15012.5,3,False
3019.93,15,3521.77,3,False
7978.34,16,3800.3,3,False
2358.26,20,14379.79,3,False
5751.06,17,3915.05,3,False
6066.0,13,9524.86,4,False
2140.15,18,1995.19,3,False
2669.29,19,2030.67,3,False
1729.19,24,5917.16,4,False
4744.32,18,3961.12,3,False
5159.17,25,5886.84,4,False
4176.86,19,3972.48,3,False
5068.28,26,5855.36,4,False
2507.62,14,9023.63,4,False
4084.89,27,5789.79,4,False
1956.3,20,3871.67,3,False
1849.96,20,2021.63,3,False
4061.78,15,8692.84,4,False
26195.79,21,14942.46,3,True
7253.21,28,5842.05,4,False
918.37,21,1969.1,3,False
542.17,22,1904.24,3,False
1423.68,16,8238.52,4,False
1213.11,23,1874.19,3,False
1661.79,22,14338.79,3,False
1253.39,17,7827.63,4,False
1779.04,23,13792.72,3,False
6813.86,18,7771.31,4,False
2459.91,19,7491.76,4,False
1876.19,21,3776.65,3,False
1287.51,20,7181.55,4,False
1962.07,22,3694.17,3,False
6067.74,21,7128.51,4,False
750.63,24,1827.37,3,False
6842.77,29,5876.56,4,False
910.66,25,1790.7,3,False
897.51,26,1756.35,3,False
7250.23,23,3848.78,3,False
6870.61,24,3974.69,3,False
4630.25,30,5835.01,4,False
3278.07,25,3946.82,3,False
5017.15,31,5808.63,4,False
2395.79,27,1780.03,3,False
1135.64,24,13265.34,3,False
2742.81,26,3900.51,3,False
4521.51,22,7010.01,4,False
7518.97,23,7032.14,4,False
1634.61,32,5678.19,4,False
7218.95,27,4023.42,3,False
3934.84,24,6903.08,4,False
5830.66,33,5682.81,4,False
2007.53,28,1788.16,3,False
2684.09,25,12842.09,3,False
1711.38,28,3940.85,3,False
6473.6,29,4028.18,3,False
3497.58,34,5618.54,4,False
6807.39,30,4120.82,3,False
1339.74,26,12399.69,3,False
4452.7,31,4131.53,3,False
4370.35,32,4138.99,3,False
71098.42,27,14573.72,3,True
5226.74,25,6836.03,4,False
5694.33,35,5620.71,4,False
6011.52,36,5631.56,4,False
1926.32,33,4071.94,3,False
1631.01,29,1782.74,3,False
7585.5,34,4175.28,3,False
2588.29,37,5549.31,4,False
5377.88,38,5544.8,4,False
2152.76,30,1795.07,3,False
5743.73,39,5549.9,4,False
5377.01,26,6779.91,4,False
2089.68,31,1804.58,3,False
1548.5,32,1796.57,3,False
1455.61,28,14105.21,3,False
2774.66,35,4135.26,3,False
7340.7,27,6800.68,4,False
5006.35,40,5536.31,4,False
5515.47,28,6754.78,4,False
1536.35,41,5438.75,4,False
649.62,33,1761.82,3,False
2417.79,36,4087.56,3,False
7804.05,37,4188.0,3,False
1935.02,42,5355.33,4,False
2208.4,38,4135.91,3,False
6728.62,39,4202.39,3,False
7146.89,40,4276.0,3,False
2595.5,34,1786.34,3,False
2552.01,29,13706.83,3,False
1919.81,35,1790.15,3,False
50956.62,36,3155.89,3,True
6242.57,43,5375.96,4,False
590.52,30,13269.62,3,False
3590.39,29,6645.67,4,False
6221.96,44,5395.19,4,False
3963.16,45,5363.37,4,False
2299.15,37,3132.73,3,False
1014.63,31,12874.29,3,False
6910.88,41,4340.26,3,False
3061.86,46,5313.34,4,False
1867.69,47,5240.02,4,False
2581.69,38,3118.23,3,False
2160.92,48,5175.88,4,False
3635.71,42,4323.49,3,False
6870.64,43,4382.73,3,False
2189.32,32,12540.39,3,False
5259.13,44,4402.64,3,False
4899.16,45,4413.68,3,False
2885.35,30,6520.32,4,False
2644.5,33,12240.51,3,False
1787.53,31,6367.65,4,False
1941.48,49,5109.87,4,False
3722.49,32,6284.99,4,False
2918.61,33,6182.98,4,False
7961.78,34,6235.3,4,False
2151.95,34,11943.79,3,False
1185.43,39,3068.67,3,False
1371.13,35,6096.32,4,False
7782.51,36,6143.16,4,False
1823.15,35,11654.63,3,False
1896.48,46,4358.96,3,False
1583.09,50,5039.33,4,False
2453.11,36,11399.03,3,False
2660.51,40,3058.47,3,False
7306.55,47,4421.67,3,False
6034.83,48,4455.28,3,False
6936.51,37,6164.6,4,False
2186.59,37,11150.05,3,False
5676.92,49,4480.21,3,False
1200.88,38,10888.23,3,False
2352.26,39,10669.36,3,False
1269.06,51,4965.41,4,False
2420.02,50,4439.01,3,False
2116.14,41,3035.48,3,False
2108.76,40,10455.34,3,False
1725.6,41,10242.42,3,False
6399.39,38,6170.78,4,False
98163.46,51,6276.74,4,True
1055.4,42,10023.68,3,False
58789.25,39,7519.97,4,True
2465.27,40,7393.6,4,False
2282.37,42,3017.55,3,False
4996.17,52,4966.0,4,False
1538.24,43,9826.35,3,False
1040.56,44,9626.67,3,False
2615.36,41,7277.06,4,False
3541.82,53,4939.13,4,False
6194.33,54,4962.37,4,False
1944.65,42,7150.1,4,False
2835.71,43,3013.32,3,False
5907.5,52,6269.64,4,False
5179.91,53,6249.08,4,False
5733.93,54,6239.54,4,False
7678.81,43,7162.39,4,False
6275.63,55,6240.19,4,False
3108.27,44,7070.26,4,False
4958.25,55,4962.3,4,False
3478.39,56,4935.8,4,False
7346.02,57,4978.08,4,False
1632.43,44,2981.94,3,False
7488.23,45,7079.54,4,False
3469.93,56,6190.73,4,False
6114.86,46,7058.57,4,False
1024.37,45,9435.51,3,False
1252.3,45,2943.5,3,False
3662.66,57,6146.37,4,False
1319.73,46,2908.2,3,False
57895.09,58,7038.59,4,True
65495.7,47,4239.85,3,True
1790.44,48,4188.82,3,False
1539.43,58,4918.8,4,False
5154.9,59,4922.8,4,False
3610.79,59,6980.49,4,False
4956.21,47,7013.84,4,False
2049.69,49,4145.17,3,False
4346.57,60,4913.19,4,False
797.94,50,4078.22,3,False
1094.65,46,9254.18,3,False
2620.03,47,9113.03,3,False
700.56,51,4011.99,3,False
35706.67,48,7611.61,4,True
2471.45,52,3982.37,3,False
4103.27,60,6932.54,4,False
4140.42,61,6886.77,4,False
900.79,48,8941.94,3,False
2792.81,61,4878.43,4,False
7643.64,49,7612.26,4,False
2715.68,49,8814.88,3,False
1715.43,62,6803.36,4,False
2939.43,50,8697.37,3,False
1195.55,51,8550.27,3,False
5290.59,50,7565.83,4,False
7571.98,62,4921.88,4,False
2526.21,53,3954.89,3,False
5341.94,51,7522.22,4,False
4278.16,63,6763.28,4,False
3200.66,52,7439.12,4,False
1781.9,54,3914.65,3,False
2611.18,52,8436.06,3,False
4019.1,53,7374.59,4,False
4781.44,64,6732.31,4,False
4033.47,65,6690.79,4,False
1427.02,63,4866.4,4,False
78854.27,53,9764.71,3,True
1277.5,55,3866.7,3,False
2453.51,56,3841.47,3,False
1893.44,54,7273.08,4,False
1216.42,57,3795.42,3,False
796.33,58,3743.71,3,False
2593.99,59,3724.22,3,False
2787.61,66,6631.65,4,False
2595.99,54,9631.95,3,False
1414.5,55,9482.54,3,False
2774.57,56,9362.76,3,False
1349.44,57,9222.17,3,False
5044.66,55,7232.57,4,False
2325.18,67,6567.38,4,False
66377.15,56,8288.72,4,True
7469.71,68,6580.64,4,False
